timestamp(ms),temperature,OrientX(deg),OrientY(deg),OrientZ(deg),GyroX(rad/s),GyroY(rad/s),GyroZ(rad/s),LinearX(m/s^2),LinearY(m/s^2),LinearZ(m/s^2),MagX(uT),MagY(uT),MagZ(uT),AcclX(m/s^2),AcclY(m/s^2),AcclZ(m/s^2),GravityX(m/s^2),GravityY(m/s^2),GravityZ(m/s^2),
"1678299189,014","24",,,,,,,,,,,,,,,,,,,
"1678299189,043",,"0",,,,,,,,,,,,,,,,,,
"1678299189,048",,,"0",,,,,,,,,,,,,,,,,
"1678299189,052",,,,"0",,,,,,,,,,,,,,,,
"1678299189,056",,,,,"0",,,,,,,,,,,,,,,
"1678299189,06",,,,,,"0",,,,,,,,,,,,,,
"1678299189,064",,,,,,,"0",,,,,,,,,,,,,
"1678299189,069",,,,,,,,"0",,,,,,,,,,,,
"1678299189,073",,,,,,,,,"0",,,,,,,,,,,
"1678299189,078",,,,,,,,,,"0",,,,,,,,,,
"1678299189,081",,,,,,,,,,,"0",,,,,,,,,
"1678299189,084",,,,,,,,,,,,"0",,,,,,,,
"1678299189,088",,,,,,,,,,,,,"0",,,,,,,
"1678299189,092",,,,,,,,,,,,,,"0,05",,,,,,
"1678299189,096",,,,,,,,,,,,,,,"-0,33",,,,,
"1678299189,1",,,,,,,,,,,,,,,,"9,56",,,,
"1678299189,105",,,,,,,,,,,,,,,,,"0",,,
"1678299189,11",,,,,,,,,,,,,,,,,,"0",,
"1678299189,114",,,,,,,,,,,,,,,,,,,"0",
"1678299189,119","24",,,,,,,,,,,,,,,,,,,
"1678299189,147",,"0",,,,,,,,,,,,,,,,,,
"1678299189,151",,,"0",,,,,,,,,,,,,,,,,
"1678299189,155",,,,"0",,,,,,,,,,,,,,,,
"1678299189,159",,,,,"0",,,,,,,,,,,,,,,
"1678299189,163",,,,,,"0",,,,,,,,,,,,,,
"1678299189,167",,,,,,,"0",,,,,,,,,,,,,
"1678299189,172",,,,,,,,"0",,,,,,,,,,,,
"1678299189,176",,,,,,,,,"0",,,,,,,,,,,
"1678299189,182",,,,,,,,,,"0",,,,,,,,,,
"1678299189,184",,,,,,,,,,,"0",,,,,,,,,
"1678299189,188",,,,,,,,,,,,"0",,,,,,,,
"1678299189,191",,,,,,,,,,,,,"0",,,,,,,
"1678299189,195",,,,,,,,,,,,,,"0,06",,,,,,
"1678299189,2",,,,,,,,,,,,,,,"-0,32",,,,,
"1678299189,204",,,,,,,,,,,,,,,,"9,61",,,,
"1678299189,208",,,,,,,,,,,,,,,,,"0",,,
"1678299189,213",,,,,,,,,,,,,,,,,,"0",,
"1678299189,218",,,,,,,,,,,,,,,,,,,"0",
"1678299189,221","24",,,,,,,,,,,,,,,,,,,
"1678299189,251",,"0",,,,,,,,,,,,,,,,,,
"1678299189,254",,,"0",,,,,,,,,,,,,,,,,
"1678299189,259",,,,"0",,,,,,,,,,,,,,,,
"1678299189,263",,,,,"0",,,,,,,,,,,,,,,
"1678299189,267",,,,,,"0",,,,,,,,,,,,,,
"1678299189,271",,,,,,,"0",,,,,,,,,,,,,
"1678299189,275",,,,,,,,"0",,,,,,,,,,,,
"1678299189,28",,,,,,,,,"0",,,,,,,,,,,
"1678299189,284",,,,,,,,,,"0",,,,,,,,,,
"1678299189,288",,,,,,,,,,,"0",,,,,,,,,
"1678299189,291",,,,,,,,,,,,"0",,,,,,,,
"1678299189,295",,,,,,,,,,,,,"0",,,,,,,
"1678299189,299",,,,,,,,,,,,,,"-0,01",,,,,,
"1678299189,303",,,,,,,,,,,,,,,"-0,32",,,,,
"1678299189,307",,,,,,,,,,,,,,,,"9,31",,,,
"1678299189,312",,,,,,,,,,,,,,,,,"0",,,
"1678299189,317",,,,,,,,,,,,,,,,,,"0",,
"1678299189,321",,,,,,,,,,,,,,,,,,,"0",
"1678299189,325","24",,,,,,,,,,,,,,,,,,,
"1678299189,361",,"0",,,,,,,,,,,,,,,,,,
"1678299189,365",,,"0",,,,,,,,,,,,,,,,,
"1678299189,369",,,,"0",,,,,,,,,,,,,,,,
"1678299189,374",,,,,"0",,,,,,,,,,,,,,,
"1678299189,378",,,,,,"0",,,,,,,,,,,,,,
"1678299189,382",,,,,,,"0",,,,,,,,,,,,,
"1678299189,386",,,,,,,,"0",,,,,,,,,,,,
"1678299189,391",,,,,,,,,"0",,,,,,,,,,,
"1678299189,395",,,,,,,,,,"0",,,,,,,,,,
"1678299189,399",,,,,,,,,,,"0",,,,,,,,,
"1678299189,402",,,,,,,,,,,,"0",,,,,,,,
"1678299189,406",,,,,,,,,,,,,"0",,,,,,,
"1678299189,41",,,,,,,,,,,,,,"0,16",,,,,,
"1678299189,414",,,,,,,,,,,,,,,"-0,31",,,,,
"1678299189,418",,,,,,,,,,,,,,,,"9,51",,,,
"1678299189,423",,,,,,,,,,,,,,,,,"0",,,
"1678299189,427",,,,,,,,,,,,,,,,,,"0",,
"1678299189,432",,,,,,,,,,,,,,,,,,,"0",
"1678299189,435","24",,,,,,,,,,,,,,,,,,,
"1678299189,465",,"0",,,,,,,,,,,,,,,,,,
"1678299189,468",,,"0",,,,,,,,,,,,,,,,,
"1678299189,472",,,,"0",,,,,,,,,,,,,,,,
"1678299189,477",,,,,"0",,,,,,,,,,,,,,,
"1678299189,481",,,,,,"0",,,,,,,,,,,,,,
"1678299189,485",,,,,,,"0",,,,,,,,,,,,,
"1678299189,489",,,,,,,,"0",,,,,,,,,,,,
